quake_code,Anno,Mese,Giorno,Luogo,Magnitudo,Latitudine,Longitudine,cfti_url
32586,1948,8,22,Puglia settentrionale,5.5,41.4408,15.8118,https://storing.ingv.it/cfti/cfti5/quake.php?32586IT=
33063,1951,5,15,Pianura Padana,5.4,45.2521,9.6005,https://storing.ingv.it/cfti/cfti5/quake.php?33063IT=
33186,1952,7,4,Appennino romagnolo,5,43.981,11.8821,https://storing.ingv.it/cfti/cfti5/quake.php?33186IT=
33292,1954,5,19,Vallese,5,46.0863,7.0946,https://storing.ingv.it/cfti/cfti5/quake.php?33292IT=
33599,1956,5,26,Appennino romagnolo,5,43.9392,11.8962,https://storing.ingv.it/cfti/cfti5/quake.php?33599IT=
33920,1958,6,24,L’Aquila,5.2,42.3405,13.4783,https://storing.ingv.it/cfti/cfti5/quake.php?33920IT=
34024,1959,4,26,Carnia,5.2,46.4671,13.0427,https://storing.ingv.it/cfti/cfti5/quake.php?34024IT=
34256,1960,3,23,Vallese,5.3,46.3473,7.9799,https://storing.ingv.it/cfti/cfti5/quake.php?34256IT=
34402,1960,10,29,Mugello,5,43.9994,11.3851,https://storing.ingv.it/cfti/cfti5/quake.php?34402IT=
34545,1961,10,31,Valle del Velino,5.1,42.3962,13.0422,https://storing.ingv.it/cfti/cfti5/quake.php?34545IT=
34641,1962,8,21,Irpinia,6.1,41.2306,14.9533,https://storing.ingv.it/cfti/cfti5/quake.php?34641IT=
34811,1963,7,19,Mar Ligure,5.4,43.9233,8.0648,https://storing.ingv.it/cfti/cfti5/quake.php?34811IT=
35749,1967,10,31,Monti Nebrodi,5.6,37.8625,14.4126,https://storing.ingv.it/cfti/cfti5/quake.php?35749IT=
35804,1968,1,15,Valle del Belice,5.6,37.7602,13.0011,https://storing.ingv.it/cfti/cfti5/quake.php?35804IT=
35810,1968,1,15,Valle del Belice,6.5,37.7602,12.9868,https://storing.ingv.it/cfti/cfti5/quake.php?35810IT=
36390,1969,4,17,Lazio meridionale,5.1,41.5715,13.7881,https://storing.ingv.it/cfti/cfti5/quake.php?36390IT=
36932,1971,2,6,Tuscania (VT),5.2,42.4428,11.8464,https://storing.ingv.it/cfti/cfti5/quake.php?36932IT=
37132,1971,7,15,Parmense,5.7,44.8152,10.3444,https://storing.ingv.it/cfti/cfti5/quake.php?37132IT=
37405,1972,2,4,Medio Adriatico,5.3,43.5911,13.2947,https://storing.ingv.it/cfti/cfti5/quake.php?37405IT=
37412,1972,2,4,Medio Adriatico,5.4,43.5893,13.283,https://storing.ingv.it/cfti/cfti5/quake.php?37412IT=
37460,1972,2,5,Medio Adriatico,5.2,43.656,13.3291,https://storing.ingv.it/cfti/cfti5/quake.php?37460IT=
37515,1972,2,6,Medio Adriatico,5.1,43.6038,13.5073,https://storing.ingv.it/cfti/cfti5/quake.php?37515IT=
37690,1972,6,14,Medio Adriatico,5.5,43.581,13.4153,https://storing.ingv.it/cfti/cfti5/quake.php?37690IT=
