quake_code,pdf_r_url
1548,https://storing.ingv.it/cfti/cfti5/pdf_R/003013-200098_R.pdf
1548,https://storing.ingv.it/cfti/cfti5/pdf_R/003013-200099_R.pdf
1548,https://storing.ingv.it/cfti/cfti5/pdf_R/003013-200100_R.pdf
1548,https://storing.ingv.it/cfti/cfti5/pdf_R/003013-950731_R.pdf
1656,
1667,
1726,
1777,
1781,
1800,
1840,
1844,
1854,
1935,
1952,
2001,
2041,https://storing.ingv.it/cfti/cfti5/pdf_R/003081-000001_R.pdf
2041,https://storing.ingv.it/cfti/cfti5/pdf_R/003081-000002_R.pdf
2041,https://storing.ingv.it/cfti/cfti5/pdf_R/003081-050007_R.pdf
2041,https://storing.ingv.it/cfti/cfti5/pdf_R/003081-060012_R.pdf
2041,https://storing.ingv.it/cfti/cfti5/pdf_R/003081-480320_R.pdf
2062,
2067,
2131,
2144,
2170,
2184,
2188,
2196,
2381,
2396,
2430,
2455,
2503,
2525,
2562,
2700,
2720,
2812,
2928,
3120,
4204,
4275,
4370,https://storing.ingv.it/cfti/cfti5/pdf_R/003017-000001_R.pdf
4370,https://storing.ingv.it/cfti/cfti5/pdf_R/003017-050007_R.pdf
4370,https://storing.ingv.it/cfti/cfti5/pdf_R/003017-950731_R.pdf
4381,
4417,
4475,
4560,
4589,
4614,
4615,
4684,
4703,
4719,
4741,
4744,
4747,
4785,
4824,
4844,
4869,
4919,
4943,
4992,
5136,
5142,
5158,
5181,
5210,
5222,
5224,
5229,
5246,
5256,
5266,
5339,
5396,https://storing.ingv.it/cfti/cfti5/pdf_R/003105-000001_R.pdf
5396,https://storing.ingv.it/cfti/cfti5/pdf_R/003105-021124_R.pdf
5396,https://storing.ingv.it/cfti/cfti5/pdf_R/003105-060012_R.pdf
5396,https://storing.ingv.it/cfti/cfti5/pdf_R/003105-480087_R.pdf
5460,https://storing.ingv.it/cfti/cfti5/pdf_R/003106-000001_R.pdf
5460,https://storing.ingv.it/cfti/cfti5/pdf_R/003106-000002_R.pdf
5460,https://storing.ingv.it/cfti/cfti5/pdf_R/003106-052444_R.pdf
5460,https://storing.ingv.it/cfti/cfti5/pdf_R/003106-480093_R.pdf
5491,
5496,
5824,
5875,
5892,
5907,
5934,
6009,
6023,
6063,
6075,
6081,
6088,
6149,
6155,
6205,
6208,
6914,
7062,
7142,
7160,
7281,
7534,
7535,
7939,
8097,
8100,
8248,
8304,
8443,
8475,
8704,
8819,
9152,
9187,
9317,
9450,
9548,
9698,
9819,
9858,
9928,
10173,
10519,
10556,
10615,
11018,
11092,
11132,
11185,
11218,
11257,
11384,
11474,
11491,
11516,
11605,
11663,
11712,https://storing.ingv.it/cfti/cfti5/pdf_R/003141-000001_R.pdf
11712,https://storing.ingv.it/cfti/cfti5/pdf_R/003141-020376_R.pdf
11712,https://storing.ingv.it/cfti/cfti5/pdf_R/003141-060012_R.pdf
11746,
11949,
12128,
12869,
13002,
13468,
13599,
14782,
14902,
14962,
15004,
15294,
15327,
16153,
16303,
16459,
16740,
16769,
17022,
17066,
17826,
17889,
18754,
19253,
19344,
20606,
21142,
21318,
22533,
23303,
23756,
24012,
24085,
24440,
24634,
24719,
24751,
25025,
25486,
25719,
25849,
26054,
26114,
26671,
26806,
26973,
27011,
27178,
27930,
28415,
29040,
29693,
29717,
29721,
29727,
29745,
29754,
29794,
30013,
30094,
30545,
30838,
31050,
31093,
31316,
31541,
31547,
31722,
31955,
32283,
32312,
32397,
32553,
32584,
32585,
32586,
33063,
33186,
33292,
33599,https://storing.ingv.it/cfti/cfti5/pdf_R/002090-092007_R.pdf
33920,
34024,
34256,
34402,
34545,
34641,
34811,
35749,
35804,
35810,
36390,
36932,
37132,
37405,
37412,
37460,
37515,
37690,
38537,
38578,
38902,
39344,
39414,
40131,
40169,
40785,
41752,
41860,
42004,
42005,
42006,https://storing.ingv.it/cfti/cfti5/pdf_R/009000-090205_R.pdf
42006,https://storing.ingv.it/cfti/cfti5/pdf_R/009000-090243_R.pdf
42006,https://storing.ingv.it/cfti/cfti5/pdf_R/009000-091411_R.pdf
42007,
42008,
42009,
42010,
42011,
42013,
42015,
42018,
42019,
42020,
42021,
42023,
42024,https://storing.ingv.it/cfti/cfti5/pdf_R/009054-000001_R.pdf
42024,https://storing.ingv.it/cfti/cfti5/pdf_R/009054-050007_R.pdf
42024,https://storing.ingv.it/cfti/cfti5/pdf_R/009054-051327_R.pdf
42024,https://storing.ingv.it/cfti/cfti5/pdf_R/009054-051328_R.pdf
42025,
42026,
42028,
42029,
42035,
42036,
42037,
42038,
42044,
42045,
42049,
42050,
42061,
42064,
42068,
42070,
42071,
42092,
42110,https://storing.ingv.it/cfti/cfti5/pdf_R/009161-091411_R.pdf
42120,
42139,
42279,
42791,
42792,
42793,
42794,
42795,
42796,
42797,https://storing.ingv.it/cfti/cfti5/pdf_R/009735-091411_R.pdf
42802,
42852,
42853,
42855,
42856,
42857,
50001,https://storing.ingv.it/cfti/cfti5/pdf_R/005020-000002_R.pdf
50001,https://storing.ingv.it/cfti/cfti5/pdf_R/005020-000003_R.pdf
50001,https://storing.ingv.it/cfti/cfti5/pdf_R/005020-093201_R.pdf
50008,
50012,
50017,
50018,
50021,https://storing.ingv.it/cfti/cfti5/pdf_R/005079-000003_R.pdf
50021,https://storing.ingv.it/cfti/cfti5/pdf_R/005079-093201_R.pdf
50022,
50023,
50024,
50025,
50026,
50027,
50033,
50035,
50036,https://storing.ingv.it/cfti/cfti5/pdf_R/005052-000001_R.pdf
50036,https://storing.ingv.it/cfti/cfti5/pdf_R/005052-000002_R.pdf
50036,https://storing.ingv.it/cfti/cfti5/pdf_R/005052-000003_R.pdf
50036,https://storing.ingv.it/cfti/cfti5/pdf_R/005052-093201_R.pdf
50037,
50038,
50039,
50043,
50045,
50046,
50055,
50056,
50058,
50061,
50064,
50071,
50072,
50073,
50076,
50077,
50079,
50081,
413,
00013,https://storing.ingv.it/cfti/cfti5/pdf_R/000002-000001_R.pdf
00013,https://storing.ingv.it/cfti/cfti5/pdf_R/000002-000002_R.pdf
00013,https://storing.ingv.it/cfti/cfti5/pdf_R/000002-050007_R.pdf
00013,https://storing.ingv.it/cfti/cfti5/pdf_R/000002-090154_R.pdf
00013,https://storing.ingv.it/cfti/cfti5/pdf_R/000002-090366_R.pdf
00013,https://storing.ingv.it/cfti/cfti5/pdf_R/000002-091411_R.pdf
00018,https://storing.ingv.it/cfti/cfti5/pdf_R/000003-000001_R.pdf
